Episodio,Reward Direita,Reward Esquerda,Passos
435,27.22676527501424,8.228444536954258,178
436,35.40277737603613,10.437969670501317,629
437,32.51614950205394,7.818853544373553,588
438,9.096388888888887,9.923472222222223,235
439,8.973750000000003,9.172500000000008,223
440,7.946388888888889,7.258333333333333,235
441,8.080416666666666,8.461111111111112,199
442,5.167222222222224,5.943472222222221,177
443,-0.17108864701039828,27.122711747062496,441
444,5.1090277777777775,5.271666666666669,171
445,9.499861111111116,9.573333333333336,240
446,4.026229916792744,30.08223548258681,424
447,4.385416666666668,8.028194444444443,210
448,7.885694444444448,8.505555555555551,248
449,8.941805555555563,9.716249999999997,227
450,25.20806669016655,264.25206675294555,1074
451,6.572361111111114,5.900833333333337,199
452,6.765833333333334,7.174722222222228,214
453,6.230555555555557,8.800833333333333,223
454,9.269444444444447,9.874166666666662,245
455,5.202638888888887,7.2819444444444414,197
456,4.125555555555555,7.690694444444446,223
457,24.836546996203673,5.562316884966872,465
458,4.212638888888888,8.067638888888894,201
459,2.962222222222221,7.586944444444447,160
460,3.025972222222225,8.90513888888889,207
461,8.755694444444444,8.585555555555558,203
462,10.488514019029836,36.8884331595999,686
463,4.215277777777772,8.925277777777776,203
464,8.981740990672225,35.54960434285242,687
465,6.81736111111111,9.215972222222224,220
466,56.76635314397799,24.53414318057402,1213
467,1.327738824614638,27.780103898611326,487
468,8.311944444444439,5.067083333333332,192
469,5.124861111111111,9.141944444444443,214
470,5.764583333333332,8.022361111111111,178
471,34.66533490254113,3.9883799606072348,607
472,8.406388888888891,2.296666666666669,183
473,8.559722222222224,3.8461111111111124,197
474,7.1116666666666655,9.471111111111112,234
475,9.090138888888898,2.9484722222222213,230
476,28.43584901072599,-1.21383298725749,492
477,5.700694444444446,8.733750000000004,206
478,9.424861111111113,4.44916666666667,238
479,28.239239932709534,-0.8711625342208791,492
480,4.261805555555557,8.086944444444445,180
481,9.597222222222229,5.48861111111111,247
482,8.488194444444442,3.241666666666671,188
483,3.92693911383936,24.767399259637763,463
484,6.46027777777778,9.454166666666673,229
485,24.112319977775243,4.355693048909277,436
486,5.431805555555555,7.9911111111111115,169
487,25.572217556145862,0.9799170046917602,443
488,5.999444444444447,8.387777777777774,182
489,9.086666666666668,6.707361111111102,235
490,4.306666504897295,28.48591429610472,525
491,9.635277777777777,7.054305555555557,251
492,33.5897544699719,5.578842041858669,626
493,6.405555555555558,8.846250000000007,238
494,4.056154976486191,25.594281213180295,463
495,9.289444444444444,6.32472222222222,255
496,5.464470053047062,24.698304693264937,483
497,8.854166666666663,6.275833333333335,208
498,7.791527777777781,4.104583333333336,185
499,6.590277777777774,7.7077777777777765,162
500,6.38587381721937,24.80199672681543,465
501,58.672873150575235,17.849702892612715,934
502,7.805436580300725,32.73681802148679,600
503,8.03955531658626,33.70117064650771,601
504,37.06375028786244,20.059491423784685,816
505,8.00416666666667,6.305000000000002,178
506,34.08558359794704,9.355189081942445,645
507,5.609583333333335,6.739444444444447,162
508,4.761805555555554,6.339722222222222,176
509,2.358311067712812,32.19053062343902,449
510,5.924821373094909,28.895782590033253,537
511,37.31455123871805,13.79668409956115,583
512,25.42596202227056,1.956698551601061,460
513,2.0321722502912554,34.07579825762962,490
514,8.490833333333333,7.451527777777775,209
515,43.68804986569216,27.47899636382897,1012
516,27.374752508597787,4.994014998001193,472
517,6.912777777777779,8.415555555555558,213
518,35.1694088071555,9.222548092222123,617
519,8.868611111111111,8.094999999999997,210
520,3.620972222222223,5.147361111111109,170
521,0.8602525423381095,30.6685170882933,476
522,3.827499999999998,6.9448611111111065,177
523,8.381111111111117,8.903194444444445,215
524,8.52638888888889,8.658194444444439,204
525,6.540277777777778,6.834027777777773,162
526,7.9754166666666615,7.708749999999997,183
527,5.162916666666663,7.20638888888889,174
528,8.868611111111111,9.492083333333337,211
529,5.0783333333333305,6.05541666666667,179
530,5.19513888888889,7.23916666666667,161
531,5.771666666666668,8.131250000000001,200
532,24.78236715345733,1.414321693403613,447
533,4.970833333333333,7.265972222222228,168
534,8.390138888888893,9.109583333333335,214
535,6.539861111111114,7.714027777777781,183
536,32.067307153148434,55.52073897654945,1073
537,5.830175725041743,31.564085493643063,482
538,29.89005115127172,56.996165577590645,1000
539,7.343359512936605,34.180876981499125,515
540,35.328346086363275,11.198783156227393,516
541,37.854417643563394,11.241966434776387,659
542,6.3093624104929305,30.980361978702977,468
543,9.563749999999995,9.752222222222219,233
544,8.775277777777779,8.118472222222223,204
545,7.343432692473041,35.62987835071972,578
546,40.500400365502244,23.2867818930902,815
547,28.568324842950638,4.51801580234855,474
548,8.085932564359613,32.05019594108941,515
549,5.521385599198965,30.230941017023092,471
550,9.332916666666662,8.960416666666674,217
551,36.573393416392015,6.945256890487072,166
552,8.55722222222222,8.906249999999998,210
553,19.88517878673523,9.428280961552577,237
554,9.784305555555559,10.287777777777778,247
555,33.214031764539456,7.676205555779513,506
556,23.57465625600023,48.37325887707094,801
557,10.905694444444455,9.860833333333336,248
558,9.017083333333334,9.416944444444443,221
559,9.201388888888891,9.577222222222229,221
560,10.08291666666666,9.574027777777783,225
561,8.298472222222227,9.107638888888888,209
562,48.32256277561817,19.319957056755698,704
563,10.153508778089856,35.821466378993904,592
564,7.232364664486889,30.512428251364252,473
565,23.38316015031465,39.396218377651984,761
566,9.279861111111114,8.271111111111116,222
567,28.45730231850817,1.282988546080814,434
568,9.076944444444445,9.542083333333334,230
569,41.74161458532515,37.86345270804486,703
570,28.154119566658494,1.0423801405899304,431
571,30.474690836429414,3.1903640479961215,467
572,39.05196857635982,11.299203738458862,703
573,54.56690347698022,23.150158610187933,1079
574,8.98615571718457,35.348594896496984,477
575,6.928749999999999,6.892500000000001,165
576,7.156244854531117,28.466109539720954,485
577,29.985530751549916,4.942191453192761,425
578,9.28597222222223,9.205694444444443,210
579,8.964444444444442,9.456944444444446,242
580,3.144839255678294,33.5294567179872,430
581,6.670889240885137,25.868250529835116,434
582,9.483888888888888,9.635,239
583,60.22291245281676,46.40135795629691,1309
584,8.094999999999999,8.430555555555554,224
585,10.132916666666668,9.484722222222222,251
586,6.753214294936255,30.96895544166992,468
587,27.86760149563586,0.8849815050308152,426
588,8.614166666666668,9.636527777777781,234
589,26.98598605602451,25.810772189136294,433
590,8.800972222222223,9.320277777777775,247
591,8.577499999999992,9.442083333333336,223
592,9.869583333333336,9.229027777777786,232
593,5.63313876962162,33.902588601734145,441
594,26.564542624913997,1.1203952780478161,422
595,8.995138888888896,8.921111111111111,200
596,9.90875,9.505277777777776,234
597,6.068947980067813,30.016562300250374,461
598,6.575972222222225,8.55944444444444,187
599,15.913636342817941,37.031257487408375,784
600,6.607361111111114,6.772083333333332,174
601,25.207464037947013,3.26601580298966,451
602,36.326499221395515,37.95467050093526,732
603,5.734444444444445,8.801527777777782,195
604,8.551944444444445,9.910694444444438,234
605,4.6513694318063,26.346422007238417,434
606,4.539076900146355,31.357741500497372,480
607,4.97236111111111,8.777222222222223,201
608,28.641560420899054,7.213623652498315,509
609,38.53830309743833,13.592275199422051,729
610,37.157705414403665,57.602053818211864,1307
611,33.73933952807798,4.857527461665514,459
612,13.488359608878135,38.02110094711126,769
613,13.399416907295326,38.91757553765828,804
614,9.98361111111111,9.631111111111116,247
615,2.6057747143936965,31.243852996327398,459
616,33.04824547358619,19.565174353228358,700
617,2.4037514970456435,30.926192871054454,451
618,29.54799939553336,57.77947843132021,506
619,8.471527777777776,8.069583333333336,201
620,12.204006460778768,38.22953681093809,686
621,11.174153207293244,41.28036398522309,709
622,8.547222222222224,8.102638888888889,205
623,8.027519299991637,32.86494605069283,500
624,24.826166650777893,7.508483842653035,460
625,39.29814574033486,20.817300618976972,869
626,25.418103472012994,8.450300064114609,447
